"days";"prec";"temp"
1;0;-426
2;0;-441
3;0;-447
4;0;-433
5;0;-415
6;0;-417
7;0;-403
8;0;-412
9;0;-433
10;0;-452
11;0;-467
12;0;-462
13;0;-446
14;0;-433
15;0;-452
16;0;-442
17;0;-433
18;0;-416
19;2;-441
20;0;-462
21;5;-452
22;2;-472
23;11;-373
24;13;-375
25;0;-428
26;0;-477
27;5;-412
28;0;-425
29;0;-447
30;2;-333
31;2;-320
32;0;-371
33;0;-407
34;0;-347
35;0;-355
36;0;-371
37;0;-413
38;0;-388
39;0;-387
40;0;-368
41;6;-377
42;0;-423
43;0;-455
44;0;-471
45;0;-460
46;0;-461
47;0;-441
48;11;-343
49;5;-367
50;0;-397
51;0;-416
52;0;-392
53;0;-388
54;0;-386
55;0;-353
56;0;-293
57;0;-221
58;0;-241
59;0;-291
60;0;-320
61;0;-316
62;0;-328
63;0;-322
64;0;-318
65;0;-322
66;0;-308
67;16;-291
68;8;-238
69;0;-263
70;0;-268
71;0;-236
72;0;-251
73;0;-261
74;0;-233
75;0;-208
76;0;-193
77;0;-218
78;0;-206
79;0;-196
80;0;-201
81;0;-188
82;0;-186
83;0;-171
84;0;-183
85;0;-133
86;0;-138
87;0;-138
88;0;-138
89;0;-145
90;0;-120
91;0;-114
92;0;-110
93;0;-125
94;0;-161
95;0;-125
96;0;-101
97;0;-135
98;0;-150
99;0;-154
100;0;-135
101;0;-114
102;0;-77
103;0;-95
104;0;-86
105;0;-67
106;0;-22
107;0;-22
108;0;-6
109;0;16
110;0;13
111;0;-11
112;0;-8
113;0;18
114;0;52
115;0;-2
116;0;-40
117;45;-22
118;0;-8
119;2;27
120;2;57
121;0;21
122;0;16
123;0;45
124;0;95
125;0;89
126;0;96
127;0;90
128;0;85
129;0;91
130;1;114
131;0;115
132;2;123
133;0;106
134;0;100
135;4;100
136;0;65
137;0;80
138;0;131
139;15;126
140;141;98
141;101;75
142;0;101
143;8;110
144;0;159
145;0;161
146;33;111
147;2;121
148;5;119
149;55;105
150;22;125
151;4;125
152;2;134
153;0;150
154;45;146
155;26;115
156;0;120
157;10;130
158;9;118
159;10;119
160;32;131
161;130;151
162;5;156
163;0;175
164;0;208
165;0;211
166;0;223
167;0;201
168;0;201
169;0;168
170;35;130
171;105;116
172;0;146
173;25;155
174;0;146
175;5;135
176;26;129
177;0;155
178;0;168
179;80;178
180;0;191
181;0;185
182;0;200
183;0;221
184;0;231
185;0;245
186;0;251
187;0;238
188;33;181
189;5;181
190;55;168
191;4;173
192;0;176
193;0;203
194;2;185
195;0;211
196;0;233
197;0;246
198;0;243
199;138;180
200;0;188
201;0;213
202;0;241
203;0;261
204;0;271
205;8;226
206;0;228
207;0;225
208;0;221
209;0;238
210;0;240
211;0;253
212;25;181
213;25;143
214;0;140
215;110;99
216;109;110
217;25;118
218;8;136
219;0;150
220;0;151
221;16;124
222;0;171
223;0;206
224;0;213
225;0;185
226;0;158
227;8;151
228;0;155
229;13;163
230;0;158
231;37;143
232;0;159
233;0;171
234;0;155
235;75;110
236;0;125
237;0;145
238;0;153
239;0;131
240;0;148
241;4;134
242;0;150
243;0;139
244;0;141
245;32;125
246;125;105
247;18;79
248;4;80
249;110;62
250;0;70
251;0;77
252;83;74
253;0;95
254;0;80
255;0;86
256;0;70
257;2;37
258;0;47
259;0;42
260;0;22
261;0;11
262;0;22
263;47;13
264;0;11
265;0;26
266;0;33
267;0;37
268;0;42
269;0;27
270;0;28
271;0;32
272;0;9
273;0;22
274;0;-1
275;0;-20
276;0;-32
277;2;-37
278;0;-23
279;139;-11
280;2;-30
281;2;-23
282;0;-22
283;0;-54
284;0;-60
285;0;-74
286;55;-16
287;4;-75
288;0;-144
289;0;-139
290;0;-163
291;0;-166
292;2;-163
293;2;-139
294;0;-175
295;25;-109
296;18;-91
297;0;-143
298;0;-176
299;0;-188
300;0;-208
301;0;-233
302;8;-170
303;5;-183
304;6;-201
305;13;-258
306;13;-181
307;0;-198
308;0;-183
309;0;-221
310;0;-258
311;0;-258
312;21;-205
313;2;-231
314;0;-251
315;8;-181
316;5;-168
317;0;-218
318;0;-230
319;11;-243
320;0;-243
321;42;-135
322;47;-47
323;11;-40
324;23;-83
325;10;-191
326;6;-213
327;2;-216
328;11;-233
329;0;-346
330;0;-407
331;0;-431
332;0;-442
333;0;-467
334;0;-468
335;0;-462
336;0;-488
337;0;-492
338;0;-461
339;0;-382
340;4;-376
341;18;-348
342;4;-363
343;0;-410
344;13;-306
345;45;-331
346;9;-351
347;0;-387
348;22;-362
349;0;-435
350;22;-387
351;11;-367
352;0;-453
353;0;-467
354;0;-468
355;0;-470
356;0;-501
357;0;-530
358;0;-512
359;0;-435
360;0;-352
361;0;-261
362;0;-278
363;0;-273
364;0;-298
365;0;-335
